symbol,last_close_rs,market_cap_cr,market_cap_missing,avg_daily_value_lakh,days_history,zero_vol_days,pump_risk_score,sub_amihud,sub_vol_spike,sub_price_accel
RAJTV,13.95,72.42,False,26.36,90,2,45.82,17.04,61.11,70.45
21STCENMGM,33.77,35.46,False,1.39,88,0,45.72,75.0,17.05,39.01
GUJRAFFIA,42.69,,True,2.37,88,0,44.67,71.64,11.36,48.15
HGM,62.02,78.11,False,9.29,89,1,44.08,36.31,50.56,47.44
HYBRIDFIN,16.4,48.28,False,2.29,89,1,42.78,57.78,16.85,55.07
VIVIDHA,0.55,16.1,False,2.42,90,2,42.64,59.06,5.56,68.3
LEXUS,16.5,33.31,False,9.24,88,0,42.41,14.31,45.45,83.12
INCREDIBLE,35.45,165.78,False,5.68,88,0,41.68,60.76,22.73,37.68
SAMBHAAV,6.77,129.38,False,3.11,89,1,40.54,46.75,22.47,55.9
AROGRANITE,24.85,38.02,False,4.23,89,1,40.51,29.79,44.94,51.45
MUKTAARTS,63.8,144.09,False,8.88,90,2,40.3,26.72,33.33,71.78
MOHITIND,22.3,31.57,False,3.83,88,0,40.26,41.2,34.09,47.39
TFL,12.38,68.23,False,3.15,89,1,40.22,65.46,16.85,32.55
SUPERSPIN,5.1,28.57,False,4.43,89,1,40.04,33.15,33.71,59.93
FLEXITUFF,6.95,22.81,False,2.4,88,0,40.03,55.83,17.05,46.93
SPLIL,30.88,90.65,False,4.46,89,1,39.66,46.58,16.85,60.52
LPDC,6.83,91.62,False,6.26,88,0,39.58,37.45,22.73,66.59
AMBICAAGAR,24.76,42.53,False,1.63,88,0,39.16,72.91,11.36,24.08
MADHAV,36.9,33.01,False,2.96,88,0,38.95,52.65,22.73,39.75
ACCURACY,5.65,85.07,False,10.73,88,0,38.85,15.01,34.09,83.67
SUVIDHAA,2.7,57.45,False,4.06,88,0,38.81,31.36,34.09,57.34
CELEBRITY,7.61,49.12,False,2.81,90,2,38.34,50.65,11.11,56.74
