date,headline,text,symbol,source_type,sentiment_score
2015-11-08,ये रही भारत की फर्जी इंवेस्टमेंट कंपनियों की लिस्ट | List of Fraud Chit fund Company - Bhopal Samachar,ये रही भारत की फर्जी इंवेस्टमेंट कंपनियों की लिस्ट | List of Fraud Chit fund Company - Bhopal Samachar,ANMOL,news_rss,0.0
2026-05-22,"Art Nirman promoters hold 1.84 crore shares, no encumbrance in FY26 - scanx.trade","Art Nirman promoters hold 1.84 crore shares, no encumbrance in FY26 - scanx.trade",ARTNIRMAN,news_rss,0.0
2026-05-25,"Art Nirman Limited Reports Earnings Results for the Fourth Quarter and Full Year Ended March 31, 2026 - marketscreener.com","Art Nirman Limited Reports Earnings Results for the Fourth Quarter and Full Year Ended March 31, 2026 - marketscreener.com",ARTNIRMAN,news_rss,0.0
2026-05-28,"Art Nirman Standalone March 2026 Net Sales at Rs 22.48 crore, up 151.92% Y-o-Y - Moneycontrol.com","Art Nirman Standalone March 2026 Net Sales at Rs 22.48 crore, up 151.92% Y-o-Y - Moneycontrol.com",ARTNIRMAN,news_rss,0.8878932595252991
2026-05-29,Art Nirman Ltd Valuation Shifts Highlight Price Attractiveness Concerns - Markets Mojo,Art Nirman Ltd Valuation Shifts Highlight Price Attractiveness Concerns - Markets Mojo,ARTNIRMAN,news_rss,-0.6787933111190796
2026-05-27,Art Nirman Q4 FY26: Revenue Surge Masks Profitability Concerns Amid Elevated Interest Costs - Markets Mojo,Art Nirman Q4 FY26: Revenue Surge Masks Profitability Concerns Amid Elevated Interest Costs - Markets Mojo,ARTNIRMAN,news_rss,0.497631311416626
2026-06-12,Eurotex Industries and Exports Ltd leads losers in 'B' group - Business Standard,Eurotex Industries and Exports Ltd leads losers in 'B' group - Business Standard,EUROTEXIND,news_rss,-0.6970727443695068
2026-06-09,Eurotex director Hariprasad Siotia passes away - scanx.trade,Eurotex director Hariprasad Siotia passes away - scanx.trade,EUROTEXIND,news_rss,0.0
2026-06-09,"Eurotex Industries and Exports Limited Announces Demise of Hariprasad Siotia, Non-Executive Director, On June 07, 2026 - marketscreener.com","Eurotex Industries and Exports Limited Announces Demise of Hariprasad Siotia, Non-Executive Director, On June 07, 2026 - marketscreener.com",EUROTEXIND,news_rss,0.0
2026-06-09,Eurotex Industries and Exports Ltd leads gainers in 'B' group - Business Standard,Eurotex Industries and Exports Ltd leads gainers in 'B' group - Business Standard,EUROTEXIND,news_rss,0.9301944375038147
2025-11-04,Eurotex Industries & Exports Ltd. Share Price Live Today - CNBC TV18,Eurotex Industries & Exports Ltd. Share Price Live Today - CNBC TV18,EUROTEXIND,news_rss,0.0
2026-02-10,Eurotex Industries Downgraded to Strong Sell Amid Technical and Fundamental Weaknesses - Markets Mojo,Eurotex Industries Downgraded to Strong Sell Amid Technical and Fundamental Weaknesses - Markets Mojo,EUROTEXIND,news_rss,-0.9701533913612366
2026-06-10,Eurotex Industries and Exports Ltd leads gainers in 'B' group - Business Standard,Eurotex Industries and Exports Ltd leads gainers in 'B' group - Business Standard,EUROTEXIND,news_rss,0.9301944375038147
2024-01-25,Eurotex Industries issues lockout notice at Kolhapur mill - Textile Excellence,Eurotex Industries issues lockout notice at Kolhapur mill - Textile Excellence,EUROTEXIND,news_rss,-0.8239955306053162
2025-02-08,Eurotex Industries and Exports reports standalone net loss of Rs 0.77 crore in the December 2024 quarter - Business Standard,Eurotex Industries and Exports reports standalone net loss of Rs 0.77 crore in the December 2024 quarter - Business Standard,EUROTEXIND,news_rss,-0.9712971448898315
